question,expected_answer,relevant_documents,relevant_pages,ground_truth_passage
Why is salinity not recalculated in real time after a pressure adjustment?,Because the salinity difference caused by the real-time pressure adjustment is negligible.,argo_quality_control_manual.pdf,22,There is no need to re-calculate salinity in real-time by using the real-time adjusted pressure values.
Which test covers unpumped salinity near the surface?,"Test 21, the near-surface unpumped CTD salinity test.",argo_quality_control_manual.pdf,28,"Test 21. Near-surface unpumped CTD salinity test. While unpumped temperature data from the primary CTD are of good quality, unpumped salinity data from the CTD may be affected."
What is the near-surface mixed air and water test?,"Test 22. It covers the shallowest part of a near-surface profile, where the sensor may be measuring a mixture of air and water.",argo_quality_control_manual.pdf,29,Test 22. Near-surface mixed air/water test. Most near-surface profiles extend all the way to the sea surface.
What does the Deep-Argo programme sample?,Temperature and salinity below the 2000 decibars of the core mission.,argo_quality_control_manual.pdf,31,2.6. Real-time quality control tests and adjustments for Deep-Argo vertical profiles from SBE CTDs. The Deep-Argo program aims to sample temperature and salinity.
What happens to real-time quality control flags in delayed mode?,The flags determined in delayed mode replace those set in real time.,argo_quality_control_manual.pdf,41,3.1. Editing raw QC flags in delayed-mode. The QC flags determined in delayed-mode should replace those determined in real-time.
What is truncated negative pressure drift?,A fault in APEX floats whose controllers set negative surface pressure readings to zero.,argo_quality_control_manual.pdf,44,"3.3.2. Truncated Negative Pressure Drift (TNPD) in APEX floats. APEX floats with the Apf-5, Apf-7, or Apf-8 controllers that set negative SURFACE PRESSURE readings to zero."
How is delayed-mode temperature quality control done?,By visual assessment of vertical profile plots of temperature against pressure.,argo_quality_control_manual.pdf,50,3.4. Delayed-mode procedures for temperature. Delayed-mode QC for temperature is done by visual assessment of vertical profile plots of TEMP vs. PRES.
What is the recommended upper limit of a delayed-mode salinity adjustment?,0.05.,argo_quality_control_manual.pdf,7,04/Nov/2013 3.5: recommended upper limit of delayed-mode salinity adjustment of 0.05.
What file format does Argo use for its data?,"NetCDF, as developed by UCAR and Unidata.",argo_user_manual.pdf,17,2 Formats description. 2.1 Overview of the formats. Argo data format is an implementation of NetCDF format developed by UCAR/Unidata.
What does the N_PROF dimension mean in an Argo file?,The number of profiles held in the file.,argo_user_manual.pdf,19,Example : N_PROF = 100. N_PARAM = maximum number of parameters measured or calculated for a pressure sample.
What is PLATFORM_NUMBER in an Argo NetCDF file?,"The float's unique identifier, its WMO number.",argo_user_manual.pdf,20,"PLATFORM_NUMBER char PLATFORM_NUMBER(N_PROF, STRING8); PLATFORM_NUMBER:long_name = ""Float unique identifier""."
What are Argo times measured relative to?,Days since 1 January 1950 at 00:00:00 UTC.,argo_user_manual.pdf,35,"JULD:units = ""days since 1950-01-01 00:00:00 UTC""; JULD:long_name = ""Julian day (UTC) of each measurement relative to REFERENCE_DATE_TIME""."
Which reference table lists the Argo data centre codes?,Reference table 4. For example ME stands for MEDS.,argo_user_manual.pdf,32,"DATA_CENTRE:conventions = ""Argo reference table 4""; Example : ""ME"" for MEDS."
Where are the calibration equation and coefficients stored in an Argo file?,In SCIENTIFIC_CALIB_EQUATION and SCIENTIFIC_CALIB_COEFFICIENT.,argo_user_manual.pdf,26,"SCIENTIFIC_CALIB_COEFFICIENT char SCIENTIFIC_CALIB_COEFFICIENT(N_PROF, N_CALIB, N_PARAM, STRING256)."
